target,block,share,ci_low,ci_high
Coral level,Thermal stress,0.16430249957336557,0.07437735656951575,0.25919825678056513
Coral level,Crown-of-thorns,0.029182951529121665,0.0020414910172635078,0.10362480749207803
Coral level,Local pressures,0.06743049930198487,0.012253677923139018,0.23991938694478254
Coral change,Starting cover,0.09864280899521692,0.07290553059006288,0.13823721826958987
Coral change,Thermal stress,0.0255535507151472,0.008235249708816166,0.07371731366856617
Coral change,Crown-of-thorns,0.007438267416305749,0.0020815589950209574,0.034430713164112746
Coral change,Local pressures,0.026741677332622078,0.008607488947775499,0.07432361296315708
