period,n,islands,mean,ci_low,ci_high,boat_group
Before 2017–19,42,14,-0.9595238095238097,-2.9540833333333336,0.8903869047619043,High boat pressure
Shutdown 2020–22,38,14,1.4352631578947372,-0.583912347560976,3.270776121794871,High boat pressure
After 2023–25,39,14,-3.387179487179487,-5.231881250000001,-1.7435729166666667,High boat pressure
Before 2017–19,32,14,-0.4815625000000001,-3.7416058467741924,3.0166569892473123,Low boat pressure
Shutdown 2020–22,34,13,0.5567647058823529,-1.6869904017857145,2.776130357142856,Low boat pressure
After 2023–25,37,13,-2.1943243243243247,-3.653435606060606,-0.8153421052631579,Low boat pressure
