group,n,islands,mean,ci_low,ci_high,mean_prev_dhw
2015,22,22,0.7004545454545453,-1.981943181818182,3.4694886363636357,2.938181818181818
2016,26,26,-0.7546153846153845,-4.04825,2.6381249999999987,1.9584615384615385
2017,25,25,-1.5104,-5.00181,1.89048,9.091999999999999
2018,26,26,-2.1919230769230773,-6.505846153846153,1.3547692307692278,3.1853846153846157
2019,24,24,1.4445833333333333,-2.1874374999999997,5.172520833333333,0.8029166666666666
2020,24,24,-0.7858333333333333,-4.052135416666666,2.4050520833333326,4.103750000000001
2021,24,24,1.6925,-1.7464791666666666,5.007541666666666,4.494583333333334
2022,35,35,0.898285714285714,-2.953871428571429,4.239549999999998,1.1911428571428573
2023,43,43,-1.1530232558139533,-3.334261627906977,1.5567674418604638,0.5167441860465117
2024,41,41,-1.8707317073170733,-3.832085365853659,-0.0637560975609758,4.012195121951219
2025,40,40,-5.007,-6.8328125,-3.2903375000000006,10.49
